restaurant_id,city,date,sales,temperature,rainfall,num_events,is_holiday,day_of_week,waste
20,Kolkata,2024-03-19,72241.32,30.4,2.8,0,0,Tuesday,74.08
12,Bengaluru,2024-09-27,30841.33,30.9,13.3,1,0,Friday,31.22
12,Bengaluru,2024-11-29,22915.93,23.2,2.2,0,0,Friday,24.94
20,Kolkata,2024-12-18,66993.05,22.7,0.9,0,0,Wednesday,69.31
25,Chennai,2024-06-03,45310.89,25.4,5.5,1,0,Monday,46.41
9,Delhi,2024-10-08,73267.06,25.6,14.6,0,0,Tuesday,78.55
7,Delhi,2024-12-24,20823.61,24.7,13.7,0,0,Tuesday,23.2
9,Delhi,2024-03-05,78089.87,25.9,8.6,0,0,Tuesday,80.81
25,Chennai,2024-10-25,41250.53,27.6,10.4,0,0,Friday,44.09
1,Mumbai,2024-03-11,19295.1,27.9,0.1,0,0,Monday,20.05
2,Mumbai,2024-06-27,31731.45,31.4,51.6,0,0,Thursday,42.27
10,Delhi,2024-03-22,60121.57,22.3,8.4,0,0,Friday,60.59
3,Mumbai,2024-04-13,62059.32,24.4,1.0,0,0,Saturday,62.83
10,Delhi,2024-07-22,59233.17,29.0,5.0,0,0,Monday,60.64
12,Bengaluru,2024-06-03,22996.16,30.6,5.6,0,0,Monday,25.23
19,Kolkata,2024-03-29,74087.87,33.1,6.3,0,0,Friday,76.04
11,Bengaluru,2024-05-14,27755.67,33.8,2.3,0,0,Tuesday,28.46
25,Chennai,2024-03-12,39320.55,33.4,10.8,0,0,Tuesday,41.23
2,Mumbai,2024-01-02,32754.16,26.1,1.9,0,0,Tuesday,33.35
20,Kolkata,2024-03-29,69916.2,32.9,7.3,0,0,Friday,73.03
16,Kolkata,2024-02-20,46979.26,31.6,6.1,0,0,Tuesday,52.19
11,Bengaluru,2024-06-27,29404.86,32.6,3.5,0,0,Thursday,28.52
19,Kolkata,2024-07-23,75284.98,27.3,12.3,1,0,Tuesday,79.26
23,Chennai,2024-03-15,55947.76,29.4,1.3,0,0,Friday,58.1
3,Mumbai,2024-05-25,61622.24,27.8,2.5,0,0,Saturday,62.82
22,Chennai,2024-10-01,16604.56,27.1,9.3,0,0,Tuesday,18.13
1,Mumbai,2024-07-15,22302.31,25.3,63.5,0,0,Monday,39.58
25,Chennai,2024-05-10,40757.87,30.7,12.7,0,0,Friday,44.26
14,Bengaluru,2024-03-13,54020.21,29.2,3.6,0,0,Wednesday,56.84
7,Delhi,2024-04-05,19906.0,24.4,10.2,0,0,Friday,24.92
12,Bengaluru,2024-03-15,23967.03,29.8,7.1,0,0,Friday,23.1
10,Delhi,2024-02-28,67389.6,31.8,8.6,0,0,Wednesday,70.83
10,Delhi,2024-06-20,72535.12,37.3,9.1,1,0,Thursday,71.09
23,Chennai,2024-07-02,54965.36,27.5,9.1,0,0,Tuesday,59.27
8,Delhi,2024-12-10,65491.82,22.9,0.5,0,0,Tuesday,64.81
5,Mumbai,2024-03-21,35370.17,32.8,13.0,0,0,Thursday,38.07
8,Delhi,2024-01-27,81502.35,26.7,2.0,0,0,Saturday,80.5
20,Kolkata,2024-12-01,95646.7,24.4,12.6,1,0,Sunday,97.9
21,Chennai,2024-09-27,19854.37,22.3,4.2,0,0,Friday,19.42
24,Chennai,2024-06-01,81458.39,24.2,12.6,0,0,Saturday,83.8
14,Bengaluru,2024-12-19,58134.03,22.9,4.1,0,0,Thursday,64.44
19,Kolkata,2024-03-04,63013.14,33.3,6.6,0,0,Monday,64.3
16,Kolkata,2024-03-02,64710.48,23.9,9.9,0,0,Saturday,68.49
4,Mumbai,2024-11-30,34728.61,24.9,2.2,0,0,Saturday,37.11
22,Chennai,2024-02-04,19548.95,26.1,11.5,0,0,Sunday,22.65
14,Bengaluru,2024-06-14,56077.67,23.4,3.2,0,0,Friday,59.87
13,Bengaluru,2024-03-21,54891.36,27.5,11.5,0,0,Thursday,60.93
21,Chennai,2024-10-18,22057.86,30.8,4.4,0,0,Friday,16.0
6,Delhi,2024-06-21,69220.56,38.1,8.0,0,0,Friday,70.04
7,Delhi,2024-01-04,22906.94,30.6,6.0,1,0,Thursday,24.18
7,Delhi,2024-10-29,21078.84,30.0,2.7,0,0,Tuesday,23.47
15,Bengaluru,2024-09-30,19838.74,29.2,0.3,0,0,Monday,21.39
23,Chennai,2024-12-13,56332.9,24.7,0.6,0,0,Friday,56.44
24,Chennai,2024-03-12,76306.74,27.2,7.0,0,0,Tuesday,76.96
13,Bengaluru,2024-04-05,53682.69,25.8,13.6,0,0,Friday,56.61
12,Bengaluru,2024-08-16,24973.76,29.7,14.8,0,0,Friday,29.88
13,Bengaluru,2024-05-04,62800.34,24.4,6.5,0,0,Saturday,63.92
8,Delhi,2024-03-07,87635.55,29.4,13.1,1,0,Thursday,89.18
1,Mumbai,2024-08-06,27011.01,26.5,10.2,1,0,Tuesday,27.6
11,Bengaluru,2024-08-08,29726.19,33.1,11.8,0,0,Thursday,33.87
19,Kolkata,2024-07-05,72231.95,29.0,7.2,0,0,Friday,72.2
15,Bengaluru,2024-10-20,20585.94,33.7,5.2,0,0,Sunday,18.19
11,Bengaluru,2024-03-04,27638.58,29.6,11.9,0,0,Monday,27.64
24,Chennai,2024-03-30,79592.85,27.2,10.4,0,0,Saturday,81.04
4,Mumbai,2024-05-26,35729.74,25.3,4.2,0,0,Sunday,35.69
20,Kolkata,2024-06-11,59477.7,32.1,6.3,0,0,Tuesday,64.87
9,Delhi,2024-03-27,82792.74,30.0,11.9,0,0,Wednesday,85.2
12,Bengaluru,2024-12-08,27833.5,22.1,12.6,0,0,Sunday,30.27
18,Kolkata,2024-02-03,23137.85,25.9,6.7,0,0,Saturday,20.74
5,Mumbai,2024-06-28,38772.28,31.1,19.2,0,0,Friday,45.44
22,Chennai,2024-03-18,15401.17,25.1,10.3,0,0,Monday,19.71
25,Chennai,2024-04-04,37401.84,31.3,13.5,0,0,Thursday,42.58
2,Mumbai,2024-07-29,29979.99,26.7,27.6,0,0,Monday,38.73
9,Delhi,2024-11-24,80010.59,25.5,8.7,0,0,Sunday,80.86
10,Delhi,2024-04-28,83055.7,23.5,13.3,1,0,Sunday,89.53
7,Delhi,2024-04-18,21268.26,31.1,12.8,0,0,Thursday,29.1
5,Mumbai,2024-11-07,36034.93,32.2,12.8,0,0,Thursday,37.23
4,Mumbai,2024-03-09,38477.23,24.8,2.0,0,0,Saturday,41.85
9,Delhi,2024-03-14,69186.29,24.9,11.6,0,0,Thursday,70.95
16,Kolkata,2024-03-17,58429.99,27.2,1.8,0,0,Sunday,61.15
2,Mumbai,2024-02-19,32861.73,31.8,13.5,0,0,Monday,35.41
9,Delhi,2024-08-13,76737.94,24.7,13.4,0,0,Tuesday,80.01
23,Chennai,2024-11-29,55618.74,22.2,1.1,0,0,Friday,53.03
7,Delhi,2024-01-26,20652.48,29.3,7.0,0,1,Friday,21.46
21,Chennai,2024-02-17,25682.02,24.8,4.0,0,0,Saturday,25.94
3,Mumbai,2024-01-28,63540.19,26.0,6.7,0,0,Sunday,66.95
4,Mumbai,2024-10-14,33935.24,24.2,6.5,0,0,Monday,36.48
11,Bengaluru,2024-05-05,36630.64,29.6,2.6,0,0,Sunday,36.31
4,Mumbai,2024-04-13,37307.19,24.1,8.4,0,0,Saturday,38.97
7,Delhi,2024-03-18,25181.36,30.0,6.8,1,0,Monday,25.79
18,Kolkata,2024-12-23,19040.43,29.5,1.0,0,0,Monday,15.75
13,Bengaluru,2024-08-13,54759.71,26.0,7.4,0,0,Tuesday,51.3
21,Chennai,2024-05-07,20989.11,32.9,14.3,0,0,Tuesday,24.31
25,Chennai,2024-06-14,37942.17,33.8,12.2,0,0,Friday,42.72
8,Delhi,2024-12-26,72836.13,25.8,14.6,1,0,Thursday,75.33
13,Bengaluru,2024-03-10,54416.63,22.2,1.4,0,0,Sunday,58.54
22,Chennai,2024-04-11,17262.53,29.8,0.8,0,0,Thursday,16.23
6,Delhi,2024-10-25,79027.02,28.7,10.8,0,0,Friday,83.7
22,Chennai,2024-02-16,16678.17,23.9,1.3,0,0,Friday,16.26
3,Mumbai,2024-02-20,50695.92,23.9,4.6,0,0,Tuesday,52.84
2,Mumbai,2024-06-26,31857.13,29.7,33.7,0,0,Wednesday,44.85
1,Mumbai,2024-11-24,24051.75,22.0,8.2,0,0,Sunday,27.76
9,Delhi,2024-04-26,69278.48,28.7,10.0,0,0,Friday,73.71
18,Kolkata,2024-05-21,22366.48,22.7,10.4,0,0,Tuesday,26.85
22,Chennai,2024-06-25,15852.96,24.5,3.9,0,0,Tuesday,14.19
8,Delhi,2024-03-06,69199.9,28.1,1.6,0,0,Wednesday,71.08
10,Delhi,2024-04-12,61793.85,30.1,3.2,0,0,Friday,63.77
23,Chennai,2024-10-31,61337.03,31.5,8.8,1,0,Thursday,62.36
4,Mumbai,2024-01-14,38467.13,33.0,1.4,0,0,Sunday,39.32
16,Kolkata,2024-07-02,50646.24,25.7,12.5,0,0,Tuesday,60.04
20,Kolkata,2024-07-13,95412.11,27.2,7.0,1,0,Saturday,98.74
7,Delhi,2024-04-24,21724.05,32.8,11.8,0,0,Wednesday,24.62
14,Bengaluru,2024-03-01,59225.65,28.5,11.9,0,0,Friday,64.05
17,Kolkata,2024-07-17,43852.62,30.6,13.5,0,0,Wednesday,48.59
4,Mumbai,2024-07-02,32975.5,29.9,17.4,0,0,Tuesday,37.89
3,Mumbai,2024-08-27,70093.13,26.4,17.0,1,0,Tuesday,72.33
16,Kolkata,2024-07-13,71880.41,25.5,14.8,1,0,Saturday,73.69
13,Bengaluru,2024-07-11,51094.53,33.9,6.5,0,0,Thursday,52.67
17,Kolkata,2024-04-15,46646.57,28.1,13.7,0,0,Monday,54.97
8,Delhi,2024-02-22,61537.84,32.4,2.6,0,0,Thursday,63.52
19,Kolkata,2024-06-22,73442.91,31.0,4.7,0,0,Saturday,74.46
23,Chennai,2024-07-08,54419.7,25.8,4.7,0,0,Monday,55.81
3,Mumbai,2024-08-26,54614.57,29.6,46.7,0,0,Monday,68.88
13,Bengaluru,2024-03-24,65195.95,28.9,2.5,0,0,Sunday,66.97
11,Bengaluru,2024-06-16,35564.85,29.2,11.8,0,0,Sunday,40.08
4,Mumbai,2024-06-29,35863.52,31.8,21.3,0,0,Saturday,42.64
12,Bengaluru,2024-08-14,27008.45,26.1,5.0,0,0,Wednesday,28.93
18,Kolkata,2024-04-20,23923.65,23.5,10.0,0,0,Saturday,26.04
18,Kolkata,2024-03-15,21516.13,33.5,6.9,0,0,Friday,21.73
7,Delhi,2024-12-18,20995.19,26.1,7.5,0,0,Wednesday,25.29
18,Kolkata,2024-07-12,19995.07,32.4,10.5,0,0,Friday,21.78
4,Mumbai,2024-07-03,35024.6,25.5,71.6,1,0,Wednesday,56.42
17,Kolkata,2024-12-29,44202.21,24.3,10.0,0,0,Sunday,49.94
24,Chennai,2024-07-12,65665.97,26.9,12.1,0,0,Friday,70.46
21,Chennai,2024-02-22,19185.54,28.9,12.2,0,0,Thursday,22.06
12,Bengaluru,2024-12-14,31357.43,23.1,11.4,0,0,Saturday,36.77
4,Mumbai,2024-12-05,40432.02,27.4,4.9,1,0,Thursday,43.62
7,Delhi,2024-08-31,24661.93,30.8,6.6,0,0,Saturday,23.43
25,Chennai,2024-01-22,40362.2,27.4,7.1,0,0,Monday,38.46
1,Mumbai,2024-04-21,30444.14,30.0,5.3,1,0,Sunday,30.48
1,Mumbai,2024-02-26,21278.82,27.3,10.0,0,0,Monday,22.6
8,Delhi,2024-11-01,75588.08,28.8,1.0,1,1,Friday,72.61
22,Chennai,2024-02-03,17599.35,27.4,9.4,0,0,Saturday,17.95
25,Chennai,2024-07-24,41106.82,32.8,13.1,0,0,Wednesday,44.15
6,Delhi,2024-01-15,85284.67,25.0,10.0,1,0,Monday,87.1
9,Delhi,2024-05-17,77230.88,36.8,2.1,0,0,Friday,78.5
13,Bengaluru,2024-09-16,49003.67,28.0,12.8,0,0,Monday,54.1
11,Bengaluru,2024-10-06,36373.54,31.0,1.3,0,0,Sunday,35.22
23,Chennai,2024-04-19,55795.57,25.2,9.7,0,0,Friday,60.46
17,Kolkata,2024-06-02,51657.02,27.7,0.8,0,0,Sunday,50.22
9,Delhi,2024-11-13,79211.96,26.3,10.7,0,0,Wednesday,83.97
23,Chennai,2024-08-23,57666.91,32.1,9.5,0,0,Friday,58.47
20,Kolkata,2024-10-10,66185.89,24.2,2.6,0,0,Thursday,67.52
11,Bengaluru,2024-01-18,27915.34,24.0,5.2,0,0,Thursday,29.17
4,Mumbai,2024-07-19,29651.08,26.2,35.5,0,0,Friday,40.84
7,Delhi,2024-09-25,22209.99,23.7,3.7,0,0,Wednesday,25.06
3,Mumbai,2024-01-09,57246.63,33.4,0.2,0,0,Tuesday,53.62
11,Bengaluru,2024-12-03,29305.18,25.4,11.2,0,0,Tuesday,32.02
23,Chennai,2024-03-02,75794.99,23.4,13.0,1,0,Saturday,75.66
16,Kolkata,2024-03-21,51685.99,31.0,5.6,0,0,Thursday,53.36
14,Bengaluru,2024-10-13,60615.53,30.0,3.6,0,0,Sunday,63.35
20,Kolkata,2024-03-23,80223.93,25.7,14.3,0,0,Saturday,81.37
17,Kolkata,2024-06-26,41780.07,24.2,0.3,0,0,Wednesday,40.09
2,Mumbai,2024-06-07,37908.34,31.5,21.9,1,0,Friday,41.45
15,Bengaluru,2024-12-08,21981.96,24.4,11.9,0,0,Sunday,26.14
13,Bengaluru,2024-02-28,56737.49,33.2,7.7,0,0,Wednesday,58.06
13,Bengaluru,2024-12-25,51252.52,27.1,6.0,0,1,Wednesday,52.54
21,Chennai,2024-04-20,24959.88,31.8,10.5,0,0,Saturday,28.19
9,Delhi,2024-01-30,74299.64,31.0,0.8,0,0,Tuesday,74.07
13,Bengaluru,2024-04-22,53298.31,27.4,1.8,0,0,Monday,53.41
12,Bengaluru,2024-02-19,26585.55,25.3,5.1,0,0,Monday,28.34
7,Delhi,2024-02-01,19139.83,32.0,3.0,0,0,Thursday,18.84
2,Mumbai,2024-03-10,33068.79,22.8,14.0,0,0,Sunday,37.42
10,Delhi,2024-12-19,65665.99,27.6,8.5,0,0,Thursday,68.64
17,Kolkata,2024-11-27,44973.92,24.9,9.9,0,0,Wednesday,50.28
1,Mumbai,2024-11-04,20352.07,31.5,13.6,0,0,Monday,25.53
9,Delhi,2024-02-26,70086.6,29.4,8.4,0,0,Monday,69.3
2,Mumbai,2024-02-05,31102.15,30.9,8.6,0,0,Monday,32.48
18,Kolkata,2024-04-27,24110.75,30.0,7.8,0,0,Saturday,26.36
3,Mumbai,2024-05-29,57807.18,26.5,11.8,0,0,Wednesday,60.29
23,Chennai,2024-11-11,60856.18,30.5,7.3,0,0,Monday,63.81
17,Kolkata,2024-02-22,38639.17,33.1,11.8,0,0,Thursday,45.52
19,Kolkata,2024-02-29,64015.07,27.6,11.2,0,0,Thursday,65.5
13,Bengaluru,2024-08-04,65598.43,26.7,0.6,0,0,Sunday,67.15
1,Mumbai,2024-10-15,21934.31,34.0,3.1,0,0,Tuesday,23.43
9,Delhi,2024-07-18,73851.42,26.1,9.6,0,0,Thursday,79.37
22,Chennai,2024-05-28,16540.3,26.9,11.5,0,0,Tuesday,20.43
14,Bengaluru,2024-06-16,64691.09,30.2,7.8,0,0,Sunday,66.03
2,Mumbai,2024-04-20,34289.38,33.3,4.5,0,0,Saturday,36.79
16,Kolkata,2024-12-06,55635.6,23.0,3.1,0,0,Friday,56.09
23,Chennai,2024-11-09,73987.17,25.9,3.5,1,0,Saturday,74.24
17,Kolkata,2024-03-30,52170.76,24.5,5.8,0,0,Saturday,55.58
11,Bengaluru,2024-02-03,37185.2,22.7,10.2,0,0,Saturday,42.36
3,Mumbai,2024-01-06,63550.93,29.3,7.3,0,0,Saturday,67.71
17,Kolkata,2024-10-28,42884.13,24.2,14.9,0,0,Monday,45.52
21,Chennai,2024-04-06,25049.69,31.7,0.2,0,0,Saturday,26.67
13,Bengaluru,2024-04-04,49664.94,25.7,8.5,0,0,Thursday,53.06
21,Chennai,2024-10-21,19479.17,22.3,12.1,0,0,Monday,26.12
8,Delhi,2024-11-28,63488.88,22.5,3.4,0,0,Thursday,65.53
12,Bengaluru,2024-08-09,27809.69,23.1,11.7,0,0,Friday,35.71
17,Kolkata,2024-09-20,42078.58,28.1,4.8,0,0,Friday,42.83
23,Chennai,2024-03-23,60894.74,29.3,6.1,0,0,Saturday,59.66
6,Delhi,2024-01-10,72142.23,32.8,1.5,0,0,Wednesday,72.18
6,Delhi,2024-06-14,82696.7,39.9,6.6,0,0,Friday,86.82
9,Delhi,2024-04-09,70194.85,25.7,3.8,0,0,Tuesday,72.23
24,Chennai,2024-10-10,82492.14,24.8,7.8,1,0,Thursday,82.16
24,Chennai,2024-11-19,65268.39,26.8,4.8,0,0,Tuesday,69.75
3,Mumbai,2024-03-09,63346.06,28.8,3.5,0,0,Saturday,66.27
11,Bengaluru,2024-10-09,32511.55,28.7,0.8,0,0,Wednesday,31.56
4,Mumbai,2024-11-03,32910.85,27.5,10.3,0,0,Sunday,34.49
1,Mumbai,2024-03-10,25393.24,31.7,9.7,0,0,Sunday,27.01
18,Kolkata,2024-01-05,21465.97,30.3,2.7,0,0,Friday,19.42
5,Mumbai,2024-05-02,36676.86,27.3,11.3,0,0,Thursday,40.42
15,Bengaluru,2024-03-14,17695.38,31.0,0.5,0,0,Thursday,17.17
13,Bengaluru,2024-08-27,57136.14,30.9,10.6,0,0,Tuesday,59.24
3,Mumbai,2024-12-08,66410.58,25.3,7.0,0,0,Sunday,70.5
6,Delhi,2024-10-30,99202.17,29.9,9.1,1,0,Wednesday,101.62
13,Bengaluru,2024-07-31,47718.98,28.8,12.0,0,0,Wednesday,49.13
7,Delhi,2024-10-23,22377.48,29.0,5.7,0,0,Wednesday,23.1
23,Chennai,2024-08-25,83099.05,27.5,13.3,1,0,Sunday,81.78
24,Chennai,2024-06-25,74857.35,33.2,3.6,0,0,Tuesday,75.75
17,Kolkata,2024-04-18,41350.77,28.7,1.4,0,0,Thursday,44.51
6,Delhi,2024-12-02,84721.91,31.3,13.9,1,0,Monday,85.77
7,Delhi,2024-06-30,24820.87,39.1,5.6,0,0,Sunday,23.85
20,Kolkata,2024-03-08,65381.33,33.9,3.2,0,0,Friday,63.09
21,Chennai,2024-01-16,21793.23,30.3,6.0,0,0,Tuesday,24.2
7,Delhi,2024-04-26,20311.28,29.8,14.4,0,0,Friday,25.09
13,Bengaluru,2024-09-10,53871.01,30.9,12.6,0,0,Tuesday,60.88
2,Mumbai,2024-04-21,37261.52,23.6,11.0,0,0,Sunday,41.18
4,Mumbai,2024-08-19,31657.2,28.7,23.8,0,0,Monday,40.0
25,Chennai,2024-02-05,43895.41,29.0,11.4,0,0,Monday,47.85
5,Mumbai,2024-11-09,43128.75,25.1,14.6,0,0,Saturday,47.43
9,Delhi,2024-06-16,91650.92,42.1,3.9,0,0,Sunday,95.38
3,Mumbai,2024-01-20,64371.33,31.4,6.9,0,0,Saturday,63.74
14,Bengaluru,2024-04-08,52503.38,22.2,8.5,0,0,Monday,56.79
11,Bengaluru,2024-10-16,28183.77,32.9,7.5,0,0,Wednesday,27.88
16,Kolkata,2024-09-13,46719.76,26.6,6.7,0,0,Friday,47.96
8,Delhi,2024-03-30,71352.57,33.5,4.0,0,0,Saturday,75.59
20,Kolkata,2024-01-22,64635.24,29.5,3.6,0,0,Monday,65.76
2,Mumbai,2024-04-12,31412.43,29.3,12.1,0,0,Friday,33.98
5,Mumbai,2024-03-22,35539.35,32.8,5.3,0,0,Friday,38.07
15,Bengaluru,2024-04-21,21739.82,24.5,5.1,0,0,Sunday,27.41
19,Kolkata,2024-05-31,72614.74,24.8,6.4,0,0,Friday,72.48
3,Mumbai,2024-10-20,61570.01,23.9,2.7,0,0,Sunday,63.25
12,Bengaluru,2024-08-01,26126.76,29.3,0.6,0,0,Thursday,26.15
7,Delhi,2024-10-12,25740.43,22.5,12.0,0,0,Saturday,32.78
3,Mumbai,2024-02-11,78054.2,31.3,8.1,1,0,Sunday,80.93
6,Delhi,2024-10-24,78892.74,28.9,7.4,0,0,Thursday,83.34
9,Delhi,2024-05-09,78218.51,41.6,1.9,0,0,Thursday,79.2
21,Chennai,2024-06-09,26486.09,28.6,0.0,0,0,Sunday,26.04
2,Mumbai,2024-10-02,33271.47,33.1,11.1,0,1,Wednesday,39.94
9,Delhi,2024-12-10,70976.64,28.0,12.1,0,0,Tuesday,76.37
21,Chennai,2024-03-28,21451.32,25.6,1.6,0,0,Thursday,23.33
4,Mumbai,2024-01-11,34613.41,30.6,10.6,0,0,Thursday,36.55
18,Kolkata,2024-03-25,25059.73,27.1,10.7,1,0,Monday,25.15
4,Mumbai,2024-11-18,32063.49,27.8,7.1,0,0,Monday,35.27
21,Chennai,2024-12-24,19647.95,22.9,12.7,0,0,Tuesday,22.06
10,Delhi,2024-01-04,61980.19,28.4,3.4,0,0,Thursday,61.11
12,Bengaluru,2024-02-20,23879.26,26.4,12.1,0,0,Tuesday,26.78
18,Kolkata,2024-09-16,18746.78,22.5,8.8,0,0,Monday,17.33
5,Mumbai,2024-08-04,43550.91,27.8,41.1,0,0,Sunday,56.69
25,Chennai,2024-08-09,40282.39,27.4,4.2,0,0,Friday,39.23
2,Mumbai,2024-09-24,33015.01,29.1,66.7,0,0,Tuesday,52.17
13,Bengaluru,2024-04-28,63537.61,24.1,14.5,0,0,Sunday,65.51
22,Chennai,2024-10-21,16052.18,23.6,9.8,0,0,Monday,17.13
16,Kolkata,2024-11-14,47260.53,33.7,4.3,0,0,Thursday,53.96
22,Chennai,2024-10-03,15085.05,27.7,13.4,0,0,Thursday,17.54
15,Bengaluru,2024-02-26,19533.79,29.7,6.0,0,0,Monday,21.77
18,Kolkata,2024-01-06,24307.63,23.2,8.2,0,0,Saturday,27.56
9,Delhi,2024-03-10,85831.25,26.2,14.5,0,0,Sunday,87.7
19,Kolkata,2024-09-20,74908.62,29.6,4.8,0,0,Friday,74.84
13,Bengaluru,2024-06-25,65846.24,25.5,4.6,1,0,Tuesday,68.63
25,Chennai,2024-10-07,38466.47,29.7,7.9,0,0,Monday,41.75
4,Mumbai,2024-03-15,30591.01,32.3,8.7,0,0,Friday,33.41
17,Kolkata,2024-07-03,38620.06,31.3,11.1,0,0,Wednesday,43.86
9,Delhi,2024-04-14,102214.47,27.6,13.4,1,0,Sunday,105.64
20,Kolkata,2024-12-16,63114.59,31.6,8.2,0,0,Monday,66.49
16,Kolkata,2024-10-23,56039.36,23.8,4.4,0,0,Wednesday,57.15
9,Delhi,2024-12-01,90361.94,33.2,4.7,0,0,Sunday,94.12
24,Chennai,2024-10-09,77855.57,28.0,12.5,0,0,Wednesday,84.79
7,Delhi,2024-02-06,19395.0,32.3,5.0,0,0,Tuesday,16.95
13,Bengaluru,2024-05-10,53438.36,22.3,2.5,0,0,Friday,55.18
18,Kolkata,2024-09-09,19544.14,29.4,1.8,0,0,Monday,16.42
8,Delhi,2024-12-21,82468.4,26.3,10.7,0,0,Saturday,87.02
12,Bengaluru,2024-09-19,28120.29,31.0,6.2,1,0,Thursday,31.5
8,Delhi,2024-04-11,60721.17,26.2,6.5,0,0,Thursday,60.77
25,Chennai,2024-01-14,43446.42,27.1,0.4,0,0,Sunday,45.36
3,Mumbai,2024-03-24,60301.19,30.3,8.9,0,0,Sunday,60.0
6,Delhi,2024-10-28,77418.53,27.1,14.0,0,0,Monday,81.66
20,Kolkata,2024-10-31,85314.89,26.3,14.4,1,0,Thursday,86.97
21,Chennai,2024-11-08,19830.64,32.6,4.9,0,0,Friday,23.23
14,Bengaluru,2024-05-23,50901.51,24.9,2.9,0,0,Thursday,49.74
17,Kolkata,2024-08-13,39749.72,30.0,1.4,0,0,Tuesday,40.81
13,Bengaluru,2024-06-10,48927.59,30.1,12.0,0,0,Monday,50.6
17,Kolkata,2024-05-04,46693.84,28.0,3.7,0,0,Saturday,45.81
1,Mumbai,2024-06-28,21630.83,31.4,35.7,0,0,Friday,37.78
24,Chennai,2024-02-09,69926.28,30.7,8.3,0,0,Friday,72.46
20,Kolkata,2024-08-19,72423.05,29.0,12.4,0,0,Monday,77.52
